2     /home/jake/Julia/rays/juliarays/Rays.jl; clamp_rgb8; line: 55
              45 /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
             11   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 179
             1279 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 184
              6   /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 121
              10  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 123
              2   /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 124
              4   /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 127
              172 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 134
              6   /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 135
              246 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 136
              273 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 137
              121 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 138
              11  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 143
              143 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 144
              3   /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 146
               2 /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
              241 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 152
             3    /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 192
             18   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 193
             17   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 194
             8    /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 198
             2    /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 201
             55   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 202
             889  /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 205
              365 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 161
               6  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 121
               4  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 123
               3  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 124
               2  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 127
               58 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 134
               2  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 135
               84 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 136
               67 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 137
               52 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 138
               2  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 142
               10 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 143
               38 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 144
               5  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 146
                5 /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
               25 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 152
              1   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 166
              1   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 167
              2   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 172
              2   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 175
              8   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 176
               7 /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
              1   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 179
              269 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 184
               1  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 121
               3  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 123
               1  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 127
               39 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 134
               1  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 135
               53 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 136
               40 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 137
               21 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 138
               3  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 143
               24 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 144
               2  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 146
                2 /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
               21 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 152
              2   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 193
              1   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 194
              1   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 198
              2   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 201
              12  /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 202
              216 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 205
               71 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 161
                3  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 121
                11 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 134
                9  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 136
                23 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 137
                7  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 138
                1  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 142
                5  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 144
                11 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 152
               1  /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 167
               1  /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 175
               2  /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 176
                2 /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
               99 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 184
                1  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 121
                1  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 124
                5  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 134
                17 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 136
                10 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 137
                3  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 138
                4  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 144
                56 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 152
               1  /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 191
               1  /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 194
               1  /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 198
               1  /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 202
               38 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 205
                17 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 161
                 5 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 134
                 1 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 136
                 4 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 137
                 2 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 138
                 2 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 144
                 1 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 146
                  1 /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
                 2 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 152
                7  /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 184
                 1 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 134
                 5 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 137
                 1 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 144
                1  /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 198
                13 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 205
